contractor_id,project_id,status,comment,rate_type,expected_rate,expected_hours_per_week,expected_rate_currency,expected_rate_exchange_rate,application_date,id
C001,P006,pending,Looking forward to working together,hourly,52.1,33.1,USD,1.29,2023-02-26,1
C001,P014,rejected,Looking forward to working together,fixed,28.74,12.7,GBP,1.38,2023-02-18,2
C001,P012,accepted,Looking forward to working together,fixed,78.27,19.0,GBP,1.05,2023-01-31,3
C002,P009,rejected,Skills not a perfect match,hourly,24.27,24.4,EUR,1.18,2023-02-08,4
C002,P004,rejected,Considering other applicants,hourly,48.71,16.6,GBP,1.19,2023-01-14,5
C003,P007,pending,Skills not a perfect match,fixed,37.32,37.1,GBP,1.3,2023-01-10,6
C003,P006,accepted,Very impressed with the portfolio,hourly,32.79,24.1,USD,1.41,2023-01-08,7
C004,P002,accepted,Considering other applicants,fixed,62.85,37.7,USD,1.25,2023-02-10,8
C005,P006,accepted,Very impressed with the portfolio,hourly,95.71,31.0,USD,1.45,2023-01-09,9
C005,P004,rejected,Skills not a perfect match,fixed,36.41,8.6,EUR,1.09,2023-01-16,10
C005,P008,accepted,Very impressed with the portfolio,fixed,73.28,5.6,EUR,1.44,2023-01-18,11
C005,P003,pending,Considering other applicants,fixed,87.87,31.9,GBP,1.15,2023-01-03,12
C006,P015,pending,Very impressed with the portfolio,hourly,24.74,24.7,USD,1.08,2023-01-23,13
C007,P011,accepted,Skills not a perfect match,hourly,27.03,31.4,USD,1.21,2023-02-25,14
C007,P009,pending,Very impressed with the portfolio,fixed,92.21,12.7,USD,1.04,2023-01-09,15
C007,P003,pending,Very impressed with the portfolio,fixed,51.55,32.8,EUR,1.23,2023-01-16,16
C007,P014,accepted,Very impressed with the portfolio,hourly,95.8,6.6,USD,1.33,2023-02-01,17
C007,P015,rejected,Very impressed with the portfolio,fixed,66.88,10.4,USD,1.06,2023-01-22,18
C008,P010,pending,Looking forward to working together,hourly,50.9,37.4,USD,1.24,2023-01-21,19
C008,P013,accepted,Considering other applicants,fixed,37.45,23.3,EUR,1.15,2023-02-11,20
C008,P009,pending,Skills not a perfect match,hourly,59.85,16.5,GBP,1.35,2023-02-20,21
C009,P009,pending,Very impressed with the portfolio,hourly,74.43,8.8,EUR,1.39,2023-01-29,22
C009,P015,rejected,Skills not a perfect match,hourly,71.89,11.2,EUR,1.06,2023-01-15,23
C009,P008,rejected,Considering other applicants,hourly,79.21,21.6,USD,1.37,2023-01-10,24
C0010,P002,accepted,Considering other applicants,fixed,93.98,21.9,GBP,1.35,2023-02-04,25
C0010,P005,accepted,Very impressed with the portfolio,hourly,23.21,22.4,USD,1.32,2023-01-05,26
C0010,P001,accepted,Very impressed with the portfolio,hourly,42.76,16.3,GBP,1.21,2023-02-25,27
C0010,P013,rejected,Looking forward to working together,hourly,76.88,22.3,EUR,1.14,2023-02-13,28
C0010,P011,accepted,Skills not a perfect match,hourly,99.25,7.3,USD,1.15,2023-02-23,29
C0011,P003,accepted,Very impressed with the portfolio,hourly,83.72,30.3,EUR,1.31,2023-01-19,30
C0011,P005,pending,Considering other applicants,fixed,75.38,39.9,EUR,1.42,2023-01-17,31
C0011,P009,pending,Looking forward to working together,hourly,71.06,14.5,EUR,1.0,2023-02-13,32
C0011,P007,accepted,Looking forward to working together,fixed,71.32,21.5,EUR,1.29,2023-01-31,33
C0012,P009,rejected,Skills not a perfect match,fixed,31.67,29.3,USD,1.02,2023-02-02,34
C0012,P001,pending,Very impressed with the portfolio,hourly,25.21,13.0,USD,1.13,2023-01-29,35
C0012,P013,rejected,Skills not a perfect match,fixed,42.38,15.9,EUR,1.17,2023-01-22,36
